instance,group,algorithm,seed,route_id,customer_sequence,load,distance,travel_time,feasible
C1_10_1,C1,Standard ACO,2026,1,183 36 663 714 498 438 22 717 637 647,160.0,385.158169,1605.146642,True
C1_10_1,C1,Standard ACO,2026,2,893 266 140 878 234,90.0,496.2635,1762.513211,True
C1_10_1,C1,Standard ACO,2026,3,311 676 860 283 221,100.0,399.05207,1653.145609,True
C1_10_1,C1,Standard ACO,2026,4,561 654 918 444 699 59 946 862,120.0,350.068706,1576.116839,True
C1_10_1,C1,Standard ACO,2026,5,682 235 749 429 82 156,120.0,589.030775,1653.986872,True
C1_10_1,C1,Standard ACO,2026,6,956 661 297 161 71,120.0,346.073121,1501.468024,True
C1_10_1,C1,Standard ACO,2026,7,951 420 566 21 583 741 469,120.0,362.625335,1514.194498,True
C1_10_1,C1,Standard ACO,2026,8,667 988 277 824 355 62,90.0,554.884611,1522.242974,True
C1_10_1,C1,Standard ACO,2026,9,643 844 888 923 732 513 374 310,100.0,625.408322,1787.565931,True
C1_10_1,C1,Standard ACO,2026,10,160 579 538 387,80.0,671.435422,1763.292552,True
C1_10_1,C1,Standard ACO,2026,11,964 715 286 915 817,120.0,309.391941,1233.079664,True
C1_10_1,C1,Standard ACO,2026,12,218 371 143 979 65 186 500,140.0,678.228752,1765.467284,True
C1_10_1,C1,Standard ACO,2026,13,211 442 23 524 695 567,120.0,379.906121,1323.781318,True
C1_10_1,C1,Standard ACO,2026,14,343 756 241 230 169 540 668 874,110.0,466.274845,1626.875204,True
C1_10_1,C1,Standard ACO,2026,15,933 52 335 368 530 905 225 845,120.0,652.048213,1722.846202,True
C1_10_1,C1,Standard ACO,2026,16,207 73 826,50.0,433.675716,1508.581263,True
C1_10_1,C1,Standard ACO,2026,17,633 262 366 929 691 232,80.0,626.413374,1682.525624,True
C1_10_1,C1,Standard ACO,2026,18,615 808 926 804 737 873 576 848,140.0,458.406672,1511.293864,True
C1_10_1,C1,Standard ACO,2026,19,256 857 510 666,70.0,405.278892,1376.760267,True
C1_10_1,C1,Standard ACO,2026,20,677 989 917 514 791,80.0,584.504508,1667.891133,True
C1_10_1,C1,Standard ACO,2026,21,294 504 930 263 392 453,110.0,483.479047,1410.061266,True
C1_10_1,C1,Standard ACO,2026,22,590 199 751 735 883 650,100.0,476.997877,1538.216023,True
C1_10_1,C1,Standard ACO,2026,23,968 745 511 191 712 898 376,120.0,324.229844,1136.239617,True
C1_10_1,C1,Standard ACO,2026,24,69 796 495 588 439 673 248,160.0,482.459125,1375.873613,True
C1_10_1,C1,Standard ACO,2026,25,599 755 704 273 55 881,140.0,439.777572,1433.210656,True
C1_10_1,C1,Standard ACO,2026,26,478 5 477 398 1000 525 447,150.0,685.173493,1734.518217,True
C1_10_1,C1,Standard ACO,2026,27,997 87 365 120 996 646 41 507 753,180.0,554.97671,1526.658002,True
C1_10_1,C1,Standard ACO,2026,28,920 227 850 828 433 811,90.0,365.577323,1336.031913,True
C1_10_1,C1,Standard ACO,2026,29,924 155 312 702 239 220 330 56,120.0,548.70315,1517.29719,True
C1_10_1,C1,Standard ACO,2026,30,628 568,30.0,527.20712,1516.053943,True
C1_10_1,C1,Standard ACO,2026,31,800 359 424 90 395 519 728 159 284 805,170.0,525.971863,1583.366541,True
C1_10_1,C1,Standard ACO,2026,32,238 260 701 436,70.0,729.248318,1673.119314,True
C1_10_1,C1,Standard ACO,2026,33,488 114 338 416 642,70.0,592.569121,1662.172363,True
C1_10_1,C1,Standard ACO,2026,34,441 40 610 493 522 83,90.0,732.327833,1716.698216,True
C1_10_1,C1,Standard ACO,2026,35,947 396 733 15 290,80.0,576.785602,1525.060897,True
C1_10_1,C1,Standard ACO,2026,36,573 337 613 307 687 617 233,140.0,460.247856,1343.637712,True
C1_10_1,C1,Standard ACO,2026,37,813 463 586 906 174 153 185,120.0,587.198478,1560.447428,True
